goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___EncodeMany_VByteListSmall-16                 	145340977	        83.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListSmall-16         	 7976080	      1499 ns/op	    2913 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListSmall-16         	84819324	       143 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListSmall-16                 	22405479	       540 ns/op	     579 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VByteListSmall-16                 	53760830	       226 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____XByteListLarge-16                 	  527590	     22441 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_XByteListLarge-16                 	 4554682	      2662 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XByteListLarge-16         	  525504	     22404 ns/op	  150402 B/op	      18 allocs/op
BenchmarkVom___EncodeManyOptional_XByteListLarge-16         	 4357390	      2737 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XByteListLarge-16                 	 1244580	      9620 ns/op	   66112 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_XByteListLarge-16                 	 1305584	      9194 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteListLarge-16                 	  552181	     21809 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_VByteListLarge-16                 	 4944800	      2506 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListLarge-16         	  528750	     22061 ns/op	  150370 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListLarge-16         	 4712142	      2541 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListLarge-16                 	 1289713	      9318 ns/op	   66112 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VByteListLarge-16                 	 1344612	      9007 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____XByteArray-16                     	 6871557	      1746 ns/op	    2948 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_XByteArray-16                     	34190088	       322 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___EncodeOptional_____XByteArray-16             	 7084952	      1699 ns/op	    2948 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_XByteArray-16             	42262555	       294 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Decode_____XByteArray-16                     	17737114	       678 ns/op	     579 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_XByteArray-16                     	33697434	       370 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteArray-16                     	 8188692	      1460 ns/op	    2916 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_VByteArray-16                     	122631056	        98.6 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___EncodeOptional_____VByteArray-16             	 7768389	      1537 ns/op	    2916 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VByteArray-16             	75412716	       155 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___Decode_____VByteArray-16                     	23938102	       504 ns/op	     547 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VByteArray-16                     	62862126	       195 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Encode_____XArray-16                         	 6834462	      1753 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_XArray-16                         	38279679	       308 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XArray-16                 	 6636380	      1797 ns/op	    2976 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_XArray-16                 	34144952	       352 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XArray-16                         	15737940	       765 ns/op	     576 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_XArray-16                         	31044427	       380 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____VArray-16                         	 7679523	      1571 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_VArray-16                         	86689297	       134 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VArray-16                 	 7272823	      1645 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VArray-16                 	61403884	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VArray-16                         	20463055	       579 ns/op	     576 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VArray-16                         	58592300	       204 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____XListSmall-16                     	 6800486	      1749 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_XListSmall-16                     	37090221	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListSmall-16             	 6635413	      1797 ns/op	    2993 B/op	      17 allocs/op
BenchmarkVom___EncodeManyOptional_XListSmall-16             	33815936	       363 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListSmall-16                     	13796044	       877 ns/op	     640 B/op	      10 allocs/op
BenchmarkVom___DecodeMany_XListSmall-16                     	24481176	       487 ns/op	      80 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListSmall-16                     	 7833325	      1526 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_VListSmall-16                     	85875967	       138 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListSmall-16             	 7422859	      1610 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VListSmall-16             	58420495	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListSmall-16                     	19310923	       619 ns/op	     608 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VListSmall-16                     	49640214	       245 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListLarge-16                     	    6781	   1795511 ns/op	  754581 B/op	      25 allocs/op
BenchmarkVom___EncodeMany_XListLarge-16                     	    7278	   1602866 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListLarge-16             	    6814	   1790897 ns/op	  754613 B/op	      26 allocs/op
BenchmarkVom___EncodeManyOptional_XListLarge-16             	    7221	   1607346 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListLarge-16                     	   10000	   1231542 ns/op	  262768 B/op	      10 allocs/op
BenchmarkVom___DecodeMany_XListLarge-16                     	   10000	   1245157 ns/op	  262208 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListLarge-16                     	    9451	   1262615 ns/op	  754581 B/op	      25 allocs/op
BenchmarkVom___EncodeMany_VListLarge-16                     	   10000	   1090824 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListLarge-16             	    9596	   1492756 ns/op	  754581 B/op	      25 allocs/op
BenchmarkVom___EncodeManyOptional_VListLarge-16             	    9170	   1496071 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListLarge-16                     	   13290	    910307 ns/op	  262736 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VListLarge-16                     	   12805	    922021 ns/op	  262176 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListAnySmall-16                  	 2377285	      5058 ns/op	    9473 B/op	      53 allocs/op
BenchmarkVom___EncodeMany_XListAnySmall-16                  	 3866967	      3097 ns/op	    5360 B/op	      34 allocs/op
BenchmarkVom___EncodeOptional_____XListAnySmall-16          	 2352930	      5083 ns/op	    9505 B/op	      54 allocs/op
BenchmarkVom___EncodeManyOptional_XListAnySmall-16          	 3842089	      3039 ns/op	    5392 B/op	      35 allocs/op
BenchmarkVom___Decode_____XListAnySmall-16                  	 5685088	      2075 ns/op	    1040 B/op	      23 allocs/op
BenchmarkVom___DecodeMany_XListAnySmall-16                  	 8010277	      1500 ns/op	     411 B/op	      12 allocs/op
BenchmarkVom___Encode_____VListAnySmall-16                  	 2546764	      4620 ns/op	    9473 B/op	      53 allocs/op
BenchmarkVom___EncodeMany_VListAnySmall-16                  	 4401714	      2738 ns/op	    5360 B/op	      34 allocs/op
BenchmarkVom___EncodeOptional_____VListAnySmall-16          	 2496116	      4798 ns/op	    9473 B/op	      53 allocs/op
BenchmarkVom___EncodeManyOptional_VListAnySmall-16          	 4234880	      2864 ns/op	    5360 B/op	      34 allocs/op
BenchmarkVom___Decode_____VListAnySmall-16                  	 7958698	      1500 ns/op	    1008 B/op	      22 allocs/op
BenchmarkVom___DecodeMany_VListAnySmall-16                  	13040559	       848 ns/op	     379 B/op	      11 allocs/op
BenchmarkVom___Encode_____XListAnyLarge-16                  	     223	  53882691 ns/op	115025471 B/op	  655426 allocs/op
BenchmarkVom___EncodeMany_XListAnyLarge-16                  	     226	  52791647 ns/op	113018439 B/op	  655390 allocs/op
BenchmarkVom___EncodeOptional_____XListAnyLarge-16          	     222	  53778728 ns/op	115025593 B/op	  655428 allocs/op
BenchmarkVom___EncodeManyOptional_XListAnyLarge-16          	     228	  52624395 ns/op	113018528 B/op	  655391 allocs/op
BenchmarkVom___Decode_____XListAnyLarge-16                  	     730	  16199156 ns/op	10494064 B/op	  196647 allocs/op
BenchmarkVom___DecodeMany_XListAnyLarge-16                  	     787	  15306135 ns/op	 7575854 B/op	  196611 allocs/op
BenchmarkVom___Encode_____VListAnyLarge-16                  	     231	  51559553 ns/op	115025632 B/op	  655428 allocs/op
BenchmarkVom___EncodeMany_VListAnyLarge-16                  	     240	  50221058 ns/op	113018544 B/op	  655391 allocs/op
BenchmarkVom___EncodeOptional_____VListAnyLarge-16          	     232	  51276394 ns/op	115025646 B/op	  655428 allocs/op
BenchmarkVom___EncodeManyOptional_VListAnyLarge-16          	     237	  50141957 ns/op	113018538 B/op	  655391 allocs/op
BenchmarkVom___Decode_____VListAnyLarge-16                  	    1053	  11158228 ns/op	10494049 B/op	  196646 allocs/op
BenchmarkVom___DecodeMany_VListAnyLarge-16                  	    1162	  10349678 ns/op	 7575828 B/op	  196610 allocs/op
BenchmarkVom___Encode_____VSet-16                           	 7436626	      1608 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_VSet-16                           	58130502	       200 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VSet-16                   	 7128500	      1688 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VSet-16                   	44644366	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VSet-16                           	15073689	       800 ns/op	     763 B/op	      13 allocs/op
BenchmarkVom___DecodeMany_VSet-16                           	27708110	       432 ns/op	     203 B/op	       6 allocs/op
BenchmarkVom___Encode_____XMap-16                           	 4360360	      2778 ns/op	    3188 B/op	      24 allocs/op
BenchmarkVom___EncodeMany_XMap-16                           	10092331	      1159 ns/op	     227 B/op	       8 allocs/op
BenchmarkVom___EncodeOptional_____XMap-16                   	 4304866	      2774 ns/op	    3188 B/op	      24 allocs/op
BenchmarkVom___EncodeManyOptional_XMap-16                   	10360371	      1149 ns/op	     227 B/op	       8 allocs/op
BenchmarkVom___Decode_____XMap-16                           	 7436941	      1614 ns/op	     846 B/op	      20 allocs/op
BenchmarkVom___DecodeMany_XMap-16                           	 9884294	      1219 ns/op	     286 B/op	      13 allocs/op
BenchmarkVom___Encode_____VMap-16                           	 6927710	      1742 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeMany_VMap-16                           	45261943	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VMap-16                   	 6427778	      1863 ns/op	    2961 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VMap-16                   	35893274	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VMap-16                           	14597424	       830 ns/op	     779 B/op	      13 allocs/op
BenchmarkVom___DecodeMany_VMap-16                           	25774474	       477 ns/op	     219 B/op	       6 allocs/op
BenchmarkVom___Encode_____XSmallStruct-16                   	 4257538	      2822 ns/op	    3393 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_XSmallStruct-16                   	19672108	       607 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XSmallStruct-16           	 2289933	      5206 ns/op	    4217 B/op	      33 allocs/op
BenchmarkVom___EncodeManyOptional_XSmallStruct-16           	 4949990	      2440 ns/op	     792 B/op	      13 allocs/op
BenchmarkVom___Decode_____XSmallStruct-16                   	12101245	       998 ns/op	     641 B/op	      10 allocs/op
BenchmarkVom___DecodeMany_XSmallStruct-16                   	19872886	       613 ns/op	      65 B/op	       3 allocs/op
BenchmarkVom___Encode_____VSmallStruct-16                   	 5294455	      2267 ns/op	    3393 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_VSmallStruct-16                   	75478747	       156 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VSmallStruct-16           	 2515137	      4744 ns/op	    4217 B/op	      33 allocs/op
BenchmarkVom___EncodeManyOptional_VSmallStruct-16           	 5826033	      2060 ns/op	     792 B/op	      13 allocs/op
BenchmarkVom___Decode_____VSmallStruct-16                   	18550886	       674 ns/op	     609 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_VSmallStruct-16                   	43111296	       283 ns/op	      33 B/op	       2 allocs/op
BenchmarkVom___Encode_____XLargeStruct-16                   	  755473	     15265 ns/op	    5025 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_XLargeStruct-16                   	 1619151	      7162 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XLargeStruct-16           	  342250	     35115 ns/op	   37822 B/op	     129 allocs/op
BenchmarkVom___EncodeManyOptional_XLargeStruct-16           	  456031	     25834 ns/op	   32764 B/op	     109 allocs/op
BenchmarkVom___Decode_____XLargeStruct-16                   	 2439590	      4868 ns/op	    1376 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_XLargeStruct-16                   	 2777764	      4337 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___Encode_____VLargeStruct-16                   	 1284789	      8956 ns/op	    5025 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_VLargeStruct-16                   	10363434	      1126 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VLargeStruct-16           	  396031	     29005 ns/op	   37821 B/op	     129 allocs/op
BenchmarkVom___EncodeManyOptional_VLargeStruct-16           	  632308	     19261 ns/op	   32764 B/op	     109 allocs/op
BenchmarkVom___Decode_____VLargeStruct-16                   	 6568372	      1816 ns/op	    1168 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VLargeStruct-16                   	 9499513	      1271 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___Encode_____XLargeStructZero-16               	  891952	     14331 ns/op	    5025 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_XLargeStructZero-16               	 1977246	      6204 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XLargeStructZero-16       	  343528	     33700 ns/op	   37822 B/op	     129 allocs/op
BenchmarkVom___EncodeManyOptional_XLargeStructZero-16       	  496759	     24235 ns/op	   32764 B/op	     109 allocs/op
BenchmarkVom___Decode_____XLargeStructZero-16               	13023111	       918 ns/op	    1376 B/op	       9 allocs/op
BenchmarkVom___DecodeMany_XLargeStructZero-16               	27901876	       424 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___Encode_____VLargeStructZero-16               	 1521110	      7885 ns/op	    5025 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_VLargeStructZero-16               	100000000	       103 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VLargeStructZero-16       	  427033	     27726 ns/op	   37822 B/op	     129 allocs/op
BenchmarkVom___EncodeManyOptional_VLargeStructZero-16       	  661802	     17895 ns/op	   32764 B/op	     109 allocs/op
BenchmarkVom___Decode_____VLargeStructZero-16               	17831872	       680 ns/op	    1168 B/op	       8 allocs/op
BenchmarkVom___DecodeMany_VLargeStructZero-16               	57029976	       208 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___Encode_____VStructWithOptional-16            	 3134259	      3847 ns/op	    3905 B/op	      24 allocs/op
BenchmarkVom___EncodeMany_VStructWithOptional-16            	52602014	       225 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStructWithOptional-16    	 1590846	      7497 ns/op	    5369 B/op	      45 allocs/op
BenchmarkVom___EncodeManyOptional_VStructWithOptional-16    	 3892305	      3104 ns/op	    1432 B/op	      20 allocs/op
BenchmarkVom___Decode_____VStructWithOptional-16            	12483422	       968 ns/op	     801 B/op	      11 allocs/op
BenchmarkVom___DecodeMany_VStructWithOptional-16            	27472322	       427 ns/op	      49 B/op	       3 allocs/op
BenchmarkVom___Encode_____VStructWithNative-16              	 3059769	      3843 ns/op	    3681 B/op	      24 allocs/op
BenchmarkVom___EncodeMany_VStructWithNative-16              	54688695	       217 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStructWithNative-16      	 1585635	      7706 ns/op	    5512 B/op	      49 allocs/op
BenchmarkVom___EncodeManyOptional_VStructWithNative-16      	 3901308	      3045 ns/op	    1416 B/op	      23 allocs/op
