Benchmark	Original ns/op	Current ns/op	Original allocs/op	Current allocs/op	ns/op delta	allocs/op delta	ns % delta	allocs % delta
BenchmarkVom___Encode_____XNumber-16                        	1555	1389	15	10	-166	-5	112%	150%
BenchmarkVom___EncodeMany_XNumber-16                        	209	217	0	0	8	0	96%	100%
BenchmarkVom___EncodeOptional_____XNumber-16                	1595	1433	16	11	-162	-5	111%	145%
BenchmarkVom___EncodeManyOptional_XNumber-16                	238	243	1	1	5	0	98%	100%
BenchmarkVom___Decode_____XNumber-16                        	584	355	7	1	-229	-6	165%	700%
BenchmarkVom___DecodeMany_XNumber-16                        	263	292	1	1	29	0	90%	100%
BenchmarkVom___Encode_____VNumber-16                        	1360	1268	15	10	-92	-5	107%	150%
BenchmarkVom___EncodeMany_VNumber-16                        	74	69.6	0	0	-4.4	0	106%	100%
BenchmarkVom___EncodeOptional_____VNumber-16                	1449	1370	15	10	-79	-5	106%	150%
BenchmarkVom___EncodeManyOptional_VNumber-16                	136	134	0	0	-2	0	101%	100%
BenchmarkVom___Decode_____VNumber-16                        	449	209	7	1	-240	-6	215%	700%
BenchmarkVom___DecodeMany_VNumber-16                        	144	142	1	1	-2	0	101%	100%
BenchmarkVom___Encode_____XStringSmall-16                   	1568	1366	15	10	-202	-5	115%	150%
BenchmarkVom___EncodeMany_XStringSmall-16                   	220	228	0	0	8	0	96%	100%
BenchmarkVom___EncodeOptional_____XStringSmall-16           	1593	1486	16	11	-107	-5	107%	145%
BenchmarkVom___EncodeManyOptional_XStringSmall-16           	258	250	1	1	-8	0	103%	100%
BenchmarkVom___Decode_____XStringSmall-16                   	633	363	8	2	-270	-6	174%	400%
BenchmarkVom___DecodeMany_XStringSmall-16                   	312	303	2	2	-9	0	103%	100%
BenchmarkVom___Encode_____VStringSmall-16                   	1353	1098	15	10	-255	-5	123%	150%
BenchmarkVom___EncodeMany_VStringSmall-16                   	81.5	63.5	0	0	-18	0	128%	100%
BenchmarkVom___EncodeOptional_____VStringSmall-16           	1440	1193	15	10	-247	-5	121%	150%
BenchmarkVom___EncodeManyOptional_VStringSmall-16           	139	121	0	0	-18	0	115%	100%
BenchmarkVom___Decode_____VStringSmall-16                   	500	237	8	2	-263	-6	211%	400%
BenchmarkVom___DecodeMany_VStringSmall-16                   	181	165	2	2	-16	0	110%	100%
