goos: darwin
goarch: amd64
pkg: v.io/v23/vom/internal
BenchmarkVom___EncodeOptional_____XByteListLarge-16         	  534878	     22386 ns/op	  149607 B/op	      13 allocs/op
BenchmarkVom___EncodeManyOptional_XByteListLarge-16         	 4140646	      2903 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XByteListLarge-16                 	 1270566	      9450 ns/op	   65653 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XByteListLarge-16                 	 1257390	     10525 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteListLarge-16                 	  479545	     25001 ns/op	  149575 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_VByteListLarge-16                 	 3993578	      2944 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VByteListLarge-16         	  460148	     25673 ns/op	  149574 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_VByteListLarge-16         	 3853599	      3131 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VByteListLarge-16                 	 1000000	     10666 ns/op	   65653 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_VByteListLarge-16                 	 1000000	     10719 ns/op	   65600 B/op	       3 allocs/op
BenchmarkVom___Encode_____XByteArray-16                     	 6281208	      1741 ns/op	    2037 B/op	      12 allocs/op
BenchmarkVom___EncodeMany_XByteArray-16                     	35811480	       334 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___EncodeOptional_____XByteArray-16             	 8186619	      1495 ns/op	    2037 B/op	      12 allocs/op
BenchmarkVom___EncodeManyOptional_XByteArray-16             	35872788	       341 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Decode_____XByteArray-16                     	24771253	       488 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XByteArray-16                     	28886844	       407 ns/op	      67 B/op	       3 allocs/op
BenchmarkVom___Encode_____VByteArray-16                     	 8718774	      1371 ns/op	    2005 B/op	      11 allocs/op
BenchmarkVom___EncodeMany_VByteArray-16                     	100000000	       106 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___EncodeOptional_____VByteArray-16             	 7939713	      1486 ns/op	    2005 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_VByteArray-16             	70545954	       178 ns/op	       3 B/op	       1 allocs/op
BenchmarkVom___Decode_____VByteArray-16                     	41144133	       275 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VByteArray-16                     	61588260	       205 ns/op	      35 B/op	       2 allocs/op
BenchmarkVom___Encode_____XArray-16                         	 6870202	      1715 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XArray-16                         	35534744	       355 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XArray-16                 	 6784012	      1724 ns/op	    2017 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XArray-16                 	29094325	       404 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____XArray-16                         	22338361	       480 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_XArray-16                         	28275618	       437 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____VArray-16                         	 8411611	      1473 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VArray-16                         	77175462	       138 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VArray-16                 	 7999078	      1465 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VArray-16                 	56767054	       220 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VArray-16                         	40051647	       286 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VArray-16                         	58666274	       214 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Encode_____XListSmall-16                     	 6871327	      1680 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_XListSmall-16                     	33661504	       355 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListSmall-16             	 6650622	      1724 ns/op	    2034 B/op	      11 allocs/op
BenchmarkVom___EncodeManyOptional_XListSmall-16             	28789440	       406 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListSmall-16                     	19930531	       655 ns/op	      80 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XListSmall-16                     	22467444	       550 ns/op	      80 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListSmall-16                     	 8454786	      1438 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VListSmall-16                     	80165224	       146 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListSmall-16             	 7593219	      1554 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VListSmall-16             	50474095	       229 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListSmall-16                     	33764758	       350 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VListSmall-16                     	44174804	       252 ns/op	      48 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListLarge-16                     	    6368	   1807357 ns/op	  754135 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_XListLarge-16                     	    7264	   1713943 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XListLarge-16             	    6195	   1825614 ns/op	  754167 B/op	      20 allocs/op
BenchmarkVom___EncodeManyOptional_XListLarge-16             	    7628	   1486309 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XListLarge-16                     	    9096	   1324477 ns/op	  262380 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XListLarge-16                     	    7941	   1436820 ns/op	  262209 B/op	       3 allocs/op
BenchmarkVom___Encode_____VListLarge-16                     	    9883	   1210276 ns/op	  754136 B/op	      19 allocs/op
BenchmarkVom___EncodeMany_VListLarge-16                     	   10000	   1051466 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VListLarge-16             	    9870	   1188263 ns/op	  754135 B/op	      19 allocs/op
BenchmarkVom___EncodeManyOptional_VListLarge-16             	   10000	   1059763 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VListLarge-16                     	   14298	    827005 ns/op	  262348 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VListLarge-16                     	   13383	    857153 ns/op	  262176 B/op	       2 allocs/op
BenchmarkVom___Encode_____XListAnySmall-16                  	 2501288	      4407 ns/op	    8336 B/op	      29 allocs/op
BenchmarkVom___EncodeMany_XListAnySmall-16                  	 3998840	      3022 ns/op	    5172 B/op	      18 allocs/op
BenchmarkVom___EncodeOptional_____XListAnySmall-16          	 2578977	      4798 ns/op	    8368 B/op	      30 allocs/op
BenchmarkVom___EncodeManyOptional_XListAnySmall-16          	 3933537	      3061 ns/op	    5204 B/op	      19 allocs/op
BenchmarkVom___Decode_____XListAnySmall-16                  	 7555147	      1504 ns/op	     411 B/op	      12 allocs/op
BenchmarkVom___DecodeMany_XListAnySmall-16                  	 8466987	      1429 ns/op	     411 B/op	      12 allocs/op
BenchmarkVom___Encode_____VListAnySmall-16                  	 2789131	      4275 ns/op	    8336 B/op	      29 allocs/op
BenchmarkVom___EncodeMany_VListAnySmall-16                  	 5088243	      2633 ns/op	    5172 B/op	      18 allocs/op
BenchmarkVom___EncodeOptional_____VListAnySmall-16          	 2610726	      4534 ns/op	    8336 B/op	      29 allocs/op
BenchmarkVom___EncodeManyOptional_VListAnySmall-16          	 4467429	      2711 ns/op	    5172 B/op	      18 allocs/op
BenchmarkVom___Decode_____VListAnySmall-16                  	12408763	       991 ns/op	     379 B/op	      11 allocs/op
BenchmarkVom___DecodeMany_VListAnySmall-16                  	12568048	       883 ns/op	     379 B/op	      11 allocs/op
BenchmarkVom___Encode_____XListAnyLarge-16                  	     208	  57048019 ns/op	110861251 B/op	  327781 allocs/op
BenchmarkVom___EncodeMany_XListAnyLarge-16                  	     213	  55714380 ns/op	108849868 B/op	  327745 allocs/op
BenchmarkVom___EncodeOptional_____XListAnyLarge-16          	     207	  60040178 ns/op	110861070 B/op	  327781 allocs/op
BenchmarkVom___EncodeManyOptional_XListAnyLarge-16          	     201	  59162151 ns/op	108849848 B/op	  327746 allocs/op
BenchmarkVom___Decode_____XListAnyLarge-16                  	     532	  21925101 ns/op	10495290 B/op	  196638 allocs/op
BenchmarkVom___DecodeMany_XListAnyLarge-16                  	     590	  20914398 ns/op	 7575859 B/op	  196611 allocs/op
BenchmarkVom___Encode_____VListAnyLarge-16                  	     217	  55074709 ns/op	110858164 B/op	  327772 allocs/op
BenchmarkVom___EncodeMany_VListAnyLarge-16                  	     216	  56159066 ns/op	108847190 B/op	  327737 allocs/op
BenchmarkVom___EncodeOptional_____VListAnyLarge-16          	     208	  57983445 ns/op	110858246 B/op	  327772 allocs/op
BenchmarkVom___EncodeManyOptional_VListAnyLarge-16          	     211	  56524432 ns/op	108847468 B/op	  327738 allocs/op
BenchmarkVom___Decode_____VListAnyLarge-16                  	     741	  15788521 ns/op	10495142 B/op	  196637 allocs/op
BenchmarkVom___DecodeMany_VListAnyLarge-16                  	     822	  13106594 ns/op	 7575827 B/op	  196610 allocs/op
BenchmarkVom___Encode_____VSet-16                           	 8402145	      1498 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VSet-16                           	55952511	       211 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VSet-16                   	 7128458	      1695 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VSet-16                   	40947793	       295 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VSet-16                           	19222743	       597 ns/op	     203 B/op	       6 allocs/op
BenchmarkVom___DecodeMany_VSet-16                           	23291371	       523 ns/op	     203 B/op	       6 allocs/op
BenchmarkVom___Encode_____XMap-16                           	 4051422	      2919 ns/op	    2229 B/op	      18 allocs/op
BenchmarkVom___EncodeMany_XMap-16                           	 8258661	      1435 ns/op	     227 B/op	       8 allocs/op
BenchmarkVom___EncodeOptional_____XMap-16                   	 3969894	      2789 ns/op	    2229 B/op	      18 allocs/op
BenchmarkVom___EncodeManyOptional_XMap-16                   	 9277980	      1361 ns/op	     227 B/op	       8 allocs/op
BenchmarkVom___Decode_____XMap-16                           	 7234848	      1647 ns/op	     286 B/op	      13 allocs/op
BenchmarkVom___DecodeMany_XMap-16                           	 8528809	      1321 ns/op	     286 B/op	      13 allocs/op
BenchmarkVom___Encode_____VMap-16                           	 7839236	      1546 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeMany_VMap-16                           	43551949	       280 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VMap-16                   	 6530683	      1855 ns/op	    2002 B/op	      10 allocs/op
BenchmarkVom___EncodeManyOptional_VMap-16                   	32041413	       374 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___Decode_____VMap-16                           	19144270	       604 ns/op	     219 B/op	       6 allocs/op
BenchmarkVom___DecodeMany_VMap-16                           	22871508	       534 ns/op	     219 B/op	       6 allocs/op
BenchmarkVom___Encode_____XSmallStruct-16                   	 4441154	      2681 ns/op	    2434 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_XSmallStruct-16                   	19537083	       590 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XSmallStruct-16           	 3586017	      3427 ns/op	    2498 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_XSmallStruct-16           	16564837	       719 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____XSmallStruct-16                   	16316743	       698 ns/op	      65 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_XSmallStruct-16                   	18493147	       639 ns/op	      65 B/op	       3 allocs/op
BenchmarkVom___Encode_____VSmallStruct-16                   	 5454513	      2231 ns/op	    2434 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_VSmallStruct-16                   	80651061	       156 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VSmallStruct-16           	 4320187	      2982 ns/op	    2498 B/op	      15 allocs/op
BenchmarkVom___EncodeManyOptional_VSmallStruct-16           	33578776	       359 ns/op	      32 B/op	       1 allocs/op
BenchmarkVom___Decode_____VSmallStruct-16                   	32391279	       366 ns/op	      33 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_VSmallStruct-16                   	43121710	       279 ns/op	      33 B/op	       2 allocs/op
BenchmarkVom___Encode_____XLargeStruct-16                   	  854462	     14193 ns/op	    4068 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_XLargeStruct-16                   	 2224951	      5340 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XLargeStruct-16           	  784920	     15583 ns/op	    4884 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_XLargeStruct-16           	 2121548	      5440 ns/op	     784 B/op	       2 allocs/op
BenchmarkVom___Decode_____XLargeStruct-16                   	 3822992	      3181 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_XLargeStruct-16                   	 3811821	      3167 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___Encode_____VLargeStruct-16                   	 1206452	     10010 ns/op	    4068 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_VLargeStruct-16                   	11941616	      1033 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VLargeStruct-16           	 1000000	     11523 ns/op	    4884 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VLargeStruct-16           	 7952390	      1612 ns/op	     784 B/op	       2 allocs/op
BenchmarkVom___Decode_____VLargeStruct-16                   	 8319956	      1359 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VLargeStruct-16                   	 9524553	      1278 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___Encode_____XLargeStructZero-16               	  933595	     12677 ns/op	    4068 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_XLargeStructZero-16               	 3194277	      3740 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____XLargeStructZero-16       	  825042	     13855 ns/op	    4884 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_XLargeStructZero-16       	 2683456	      4490 ns/op	     784 B/op	       2 allocs/op
BenchmarkVom___Decode_____XLargeStructZero-16               	20418278	       570 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___DecodeMany_XLargeStructZero-16               	25475344	       479 ns/op	     416 B/op	       2 allocs/op
BenchmarkVom___Encode_____VLargeStructZero-16               	 1311240	      8796 ns/op	    4068 B/op	      13 allocs/op
BenchmarkVom___EncodeMany_VLargeStructZero-16               	100000000	       104 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VLargeStructZero-16       	 1000000	     10722 ns/op	    4884 B/op	      16 allocs/op
BenchmarkVom___EncodeManyOptional_VLargeStructZero-16       	24390472	       502 ns/op	     784 B/op	       2 allocs/op
BenchmarkVom___Decode_____VLargeStructZero-16               	36388825	       326 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___DecodeMany_VLargeStructZero-16               	55312777	       218 ns/op	     208 B/op	       1 allocs/op
BenchmarkVom___Encode_____VStructWithOptional-16            	 3159087	      3765 ns/op	    2850 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_VStructWithOptional-16            	59179238	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkVom___EncodeOptional_____VStructWithOptional-16    	 2490175	      4545 ns/op	    2898 B/op	      19 allocs/op
BenchmarkVom___EncodeManyOptional_VStructWithOptional-16    	28909508	       406 ns/op	      16 B/op	       1 allocs/op
BenchmarkVom___Decode_____VStructWithOptional-16            	20439346	       539 ns/op	      49 B/op	       3 allocs/op
BenchmarkVom___DecodeMany_VStructWithOptional-16            	28109136	       431 ns/op	      49 B/op	       3 allocs/op
BenchmarkVom___Encode_____VStructWithNative-16              	 3221984	      3858 ns/op	    2626 B/op	      17 allocs/op
BenchmarkVom___EncodeMany_VStructWithNative-16              	52631474	       205 ns/op	       0 B/op	       0 allocs/op
